keyword,cluster,pillar,satellites,h2
expo lumières bordeaux,3,bleu et noir donne quelle couleur,"['verre en couleur', 'les bassins des lumières', 'bassin des lumières', 'contraste simultané', 'bassins de lumières', 'bassin lumiere bordeaux', 'noir de soulage', 'bassin de lumiere', 'toile lin naturel', 'la bassin des lumières', 'bassin de lumière', ""pouring medium c'est quoi""]","['Guide: Bleu Et Noir Donne Quelle Couleur', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
bassin des lumières klimt,3,bleu et noir donne quelle couleur,"['verre en couleur', 'les bassins des lumières', 'bassin des lumières', 'contraste simultané', 'bassins de lumières', 'bassin lumiere bordeaux', 'noir de soulage', 'bassin de lumiere', 'toile lin naturel', 'la bassin des lumières', 'bassin de lumière', ""pouring medium c'est quoi""]","['Guide: Bleu Et Noir Donne Quelle Couleur', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
expo klimt bordeaux,2,maison nationale des artistes de nogent sur marne,"['poses modèle vivant site', 'yeux simone signoret jeune', ""comment conserver l'argile autodurcissante"", 'artmajeur avis', ""easycryl c'est quoi"", 'saatchi art avis', 'la joconde en manga', 'rené milone avis', 'joconde manga', 'modèle vivant gratuit', 'aquarelle paysage urbain', ""panpastel c'est quoi""]","['Guide: Maison Nationale Des Artistes De Nogent Sur Marne', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
inktober 2019,4,comment faire une gomme mie de pain,"['artprice mon compte', 'pastel card ou pastelmat', 'meilleure gomme électrique', 'inktober 2020', 'comment ramollir une gomme mie de pain', 'pinceau poil de porc', 'gouache marque', 'tableau intelligence artificielle', 'aquarelle granuleuse', 'dosage pouring', 'fixatif pastel gras', 'expo max ernst aix']","['Guide: Comment Faire Une Gomme Mie De Pain', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
fusing,4,comment faire une gomme mie de pain,"['artprice mon compte', 'pastel card ou pastelmat', 'meilleure gomme électrique', 'inktober 2020', 'comment ramollir une gomme mie de pain', 'pinceau poil de porc', 'gouache marque', 'tableau intelligence artificielle', 'aquarelle granuleuse', 'dosage pouring', 'fixatif pastel gras', 'expo max ernst aix']","['Guide: Comment Faire Une Gomme Mie De Pain', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
gomme electrique,3,bleu et noir donne quelle couleur,"['verre en couleur', 'les bassins des lumières', 'bassin des lumières', 'contraste simultané', 'bassins de lumières', 'bassin lumiere bordeaux', 'noir de soulage', 'bassin de lumiere', 'toile lin naturel', 'la bassin des lumières', 'bassin de lumière', ""pouring medium c'est quoi""]","['Guide: Bleu Et Noir Donne Quelle Couleur', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
artprice,1,eclairage led pour galerie d'art,"['luxembourg art prize avis', 'artprice avis', 'luxembourg art prize fake', 'vendre sur saatchi art', 'milone art academy avis', 'artmajeur tarifs', 'easycryl prix', 'maison nationale des artistes', 'luxembourg art prize', 'artprice', 'prix abonnement artprice', 'concours peinture 2023 paris']","[""Guide: Eclairage Led Pour Galerie D'Art"", 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
regle 7 familles,4,comment faire une gomme mie de pain,"['artprice mon compte', 'pastel card ou pastelmat', 'meilleure gomme électrique', 'inktober 2020', 'comment ramollir une gomme mie de pain', 'pinceau poil de porc', 'gouache marque', 'tableau intelligence artificielle', 'aquarelle granuleuse', 'dosage pouring', 'fixatif pastel gras', 'expo max ernst aix']","['Guide: Comment Faire Une Gomme Mie De Pain', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
regle jeu 7 famille,4,comment faire une gomme mie de pain,"['artprice mon compte', 'pastel card ou pastelmat', 'meilleure gomme électrique', 'inktober 2020', 'comment ramollir une gomme mie de pain', 'pinceau poil de porc', 'gouache marque', 'tableau intelligence artificielle', 'aquarelle granuleuse', 'dosage pouring', 'fixatif pastel gras', 'expo max ernst aix']","['Guide: Comment Faire Une Gomme Mie De Pain', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
sumi-e,4,comment faire une gomme mie de pain,"['artprice mon compte', 'pastel card ou pastelmat', 'meilleure gomme électrique', 'inktober 2020', 'comment ramollir une gomme mie de pain', 'pinceau poil de porc', 'gouache marque', 'tableau intelligence artificielle', 'aquarelle granuleuse', 'dosage pouring', 'fixatif pastel gras', 'expo max ernst aix']","['Guide: Comment Faire Une Gomme Mie De Pain', 'Matériel et supports', 'Techniques et erreurs fréquentes', 'FAQ et cas particuliers']"
